フォルダ名,コンテンツ名,標準学習時間,URL
【研修動画】ミスのない試算表を出せる体制を整えよう,【動画】ミスのない試算表を出せる体制を整えよう（4/4）,0:35:50,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxNjAsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】ミスのない試算表を出せる体制を整えよう,【修了証】ミスのない試算表を出せる体制を整えよう,0:00:00,
【研修動画】超効率的な運用フローを設計しよう,【動画】超効率的な運用フローを設計しよう（1/3）,0:38:45,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxNjEsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】超効率的な運用フローを設計しよう,【動画】超効率的な運用フローを設計しよう（2/3）,0:32:00,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxNjIsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】超効率的な運用フローを設計しよう,【動画】超効率的な運用フローを設計しよう（3/3）,0:32:04,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxNjMsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】超効率的な運用フローを設計しよう,【修了証】超効率的な運用フローを設計しよう,0:00:00,
【研修動画】DX化を実現する本講座を振り返ろう,【動画】DX化を実現する本講座を振り返ろう,0:19:42,https://01entrepreneur.quizgenerator.net/sys/?action=quizPlayer&options=eyJzY29faWQiOjU0NzIxNjQsImhlYWRlciI6eyJnb29kIjp7InZpc2libGUiOnRydWV9fSwiYmFja19saXN0Ijp0cnVlfQ%3D%3D
【研修動画】DX化を実現する本講座を振り返ろう,【修了証】DX化を実現する本講座を振り返ろう,0:00:00,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
